zid,zid_attr,id,id_attr,building_name,name,name_read,name_read_through,name_initial_code,phone_number,post_code,address_code,address_code1,address_code2,address_code3,address_code4,address_code5,address_detail_code1,address_detail_code2,address,building_type,endearing_name_type,language_code,entrance_point/0/0,entrance_point/0/1,arrival_point/0/0,arrival_point/0/1,genre_code,main_genre_name,all_genre_name,position/0,position/1,distance,entrance_point,arrival_point,entrance_point/1/0,entrance_point/1/1,arrival_point/1/0,arrival_point/1/1,arrival_point/2/0,arrival_point/2/1,entrance_point/2/0,entrance_point/2/1,arrival_point/3/0,arrival_point/3/1
309098570781342979,1749746353375807561,0000309098570781342979,0001749746353375807561,,上林公園,,,99,,,431010170000000200009,JPN,43,101,017,000,00002,00009,熊本県熊本市中央区上林町2-38,7,7,ja,130.7099972873,32.807933214,130.710198839,32.8078843859,00120:0012000140; ,0012000140:公園,レジャー;公園;,130.7099986437,32.8079361979,,,,,,,,,,,,,
309495494478999811,1751686991398837400,0000309495494478999811,0001751686991398837400,,香川第二有料駐車場,,カガワダイニユウリョウチュウシャジョウ,99,,,431010950000000900003,JPN,43,101,095,000,00009,00003,熊本県熊本市中央区南坪井町9-5,7,7,ja,130.7135403103,32.8084814453,130.7134708659,32.8084787326,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7137011719,32.8084662543,,,,,,,,,,,,,
306408065828160089,1748440133562643062,0000306408065828160089,0001748440133562643062,,上通コインパーク2F,,カミトオリコインパークニエフ,99,092-441-7903,,4310101600000005,JPN,43,101,016,000,00005,,熊本県熊本市中央区上通町5,1,1,ja,130.7122639974,32.8035983615,130.7122458225,32.803581543,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7123825412,32.8037027995,,,,,,,,,,,,,
1750100917958483399,1750100396119956936,0001750100917958483399,0001750100396119956936,,ザ・パーク草葉町駐車場,,ザパーククサバチョウチュウシャジョウ,99,,,431010240000000300001,JPN,43,101,024,000,00003,00001,熊本県熊本市中央区草葉町3-1,7,7,ja,130.7128390842,32.8060191515,130.7128355577,32.8060053168,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7128564453,32.806110026,,,,,,,,,,,,,
1751045398446956522,1751044876608430108,0001751045398446956522,0001751044876608430108,,ザ・パーク南坪井町駐車場,,ザパークミナミツボイマチチュウシャジョウ,99,,,431010950000000100001,JPN,43,101,095,000,00001,00001,熊本県熊本市中央区南坪井町1-1,7,7,ja,130.7122854275,32.8068237305,130.712280816,32.806805013,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7123177083,32.8070046658,,,,,,,,,,,,,
1752292244632823010,1752291722794296649,0001752292244632823010,0001752291722794296649,,スパーク熊本上通駐車場,,スパーククマモトカミトオリチュウシャジョウ,99,,,431010160000001100011,JPN,43,101,016,000,00011,00011,熊本県熊本市中央区上通町11-4,7,7,ja,130.71220676,32.8065861003,130.7122620985,32.8068096246,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7121628147,32.8065912543,,,,,,,,,,,,,
1752292244632823011,1752291722794296650,0001752292244632823011,0001752291722794296650,,みつばちパーキング,,ミツバチパーキング,99,,,431010590000000400009,JPN,43,101,059,000,00004,00009,熊本県熊本市中央区水道町4-27,7,7,ja,130.7133531359,32.8046815321,130.7133981662,32.8048776584,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7133599175,32.8046858724,,,,,,,,,,,,,
306320104898356506,306319583059834607,0000306320104898356506,0000306319583059834607,,南坪井町パーキング,,ミナミツボイマチパーキング,99,,,431010950000000700006,JPN,43,101,095,000,00007,00006,熊本県熊本市中央区南坪井町7-16,7,7,ja,130.7128111437,32.8080493164,130.7128597005,32.8084133572,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7128333876,32.8082250977,,,,,,,,,,,,,
306408065828160086,1749946464492483338,0000306408065828160086,0001749946464492483338,,三井のリパーク熊本水道町第2駐車場,,ミツイノリパーククマモトスイドウチョウダイニチュウシャジョウ,99,,,431010590000000400007,JPN,43,101,059,000,00004,00007,熊本県熊本市中央区水道町4-24,7,7,ja,130.7135438368,32.8045741102,130.7138189019,32.804460178,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7136702474,32.8045290799,,,,,,,,,,,,,
306408065828160087,306407543989637589,0000306408065828160087,0000306407543989637589,,フラットパーク水道町駐車場,,フラットパークスイドウチョウチュウシャジョウ,99,,,431010590000000800002,JPN,43,101,059,000,00008,00002,熊本県熊本市中央区水道町8-15,7,7,ja,130.7140760634,32.8030978733,130.7142323134,32.8031740994,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7141457791,32.8031163194,,,,,,,,,,,,,
1747899695679785919,1747899173841259456,0001747899695679785919,0001747899173841259456,,パスート24草葉第一駐車場,,パスートニジュウヨンクサバダイイチチュウシャジョウ,99,,,431010240000000300004,JPN,43,101,024,000,00003,00004,熊本県熊本市中央区草葉町3-19,7,7,ja,130.7130230035,32.8059722222,130.713019477,32.8059589301,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7130455187,32.805996365,,,,,,,,,,,,,
1751687513237363852,1751686991398837390,0001751687513237363852,0001751686991398837390,,バス・マイクロバス専用駐車場,,バスマイクロバスセンヨウチュウシャジョウ,99,,,431010590000001200001,JPN,43,101,059,000,00012,00001,熊本県熊本市中央区水道町12-1,7,7,ja,130.7142616102,32.8037174479,130.7142537435,32.8036930339,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7142724609,32.8038113064,,,,,,,,,,,,,
1747899695679785890,1747899173841259441,0001747899695679785890,0001747899173841259441,,パスート24大甲橋第2コイン駐車場,,パスートニジュウヨンタイコウバシダイニコインチュウシャジョウ,99,,,431010590000000600003,JPN,43,101,059,000,00006,00003,熊本県熊本市中央区水道町6-2,7,7,ja,130.7136344401,32.8018250868,130.7136143663,32.8018329536,00110:0011000110; ,0011000110:駐車場,車・交通;駐車場;,130.7136545139,32.8018177626,,,,,,,,,,,,,
