address_code,address,address_read,address_read_through,address_code1,address1,address_read1,address_read_through1,address_code2,address2,address_read2,address_read_through2,address_code3,address3,address_read3,address_read_through3,address_code4,address4,address_read4,address_read_through4,address_code5,address5,address_read5,address_read_through5,address_detail_code1,address_detail1,address_detail_read1,address_detail_read_through1,address_detail_code2,address_detail2,address_detail_read2,address_detail_read_through2,post_code,address_level,address_name_type,exclude_level_flag,entrance_point,position/0,position/1,pastmap_id,pastmap_year,child_level_flag,distance,entrance_point/0/0,entrance_point/0/1,entrance_point/1/0,entrance_point/1/1,entrance_point/2/0,entrance_point/2/1,entrance_point/3/0,entrance_point/3/1,entrance_point/4/0,entrance_point/4/1,entrance_point/5/0,entrance_point/5/1,entrance_point/6/0,entrance_point/6/1,entrance_point/7/0,entrance_point/7/1,entrance_point/8/0,entrance_point/8/1
43101016,熊本県熊本市中央区上通町,クマモトケンクマモトシチュウオウクカミトオリチョウ,クマモトケンクマモトシチュウオウクカミトオリチョウ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,,,,,,,,,,,,,860-0845,OAZ,1,0,,130.7121118164,32.8055129666,,,1,,,,,,,,,,,,,,,,,,,
4310101600000001,熊本県熊本市中央区上通町1,クマモトケンクマモトシチュウオウクカミトオリチョウ1,クマモトケンクマモトシチュウオウクカミトオリチョウイチ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,,,,,860-0845,GIK,1,0,,130.7101953125,32.8035251194,,,1,,,,,,,,,,,,,,,,,,,
431010160000000100001,熊本県熊本市中央区上通町1-1,クマモトケンクマモトシチュウオウクカミトオリチョウ1-1,クマモトケンクマモトシチュウオウクカミトオリチョウイチイチ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00001,1,1,イチ,860-0845,TBN,1,0,,130.7101090495,32.8036908637,,,0,,130.7100184462,32.8037681749,,,,,,,,,,,,,,,,
431010160000000100013,熊本県熊本市中央区上通町1-7,クマモトケンクマモトシチュウオウクカミトオリチョウ1-7,クマモトケンクマモトシチュウオウクカミトオリチョウイチナナ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00013,7,7,ナナ,860-0845,TBN,1,0,,130.7101584201,32.8038308377,,,0,,130.7100724284,32.8038699002,,,,,,,,,,,,,,,,
431010160000000100002,熊本県熊本市中央区上通町1-13,クマモトケンクマモトシチュウオウクカミトオリチョウ1-13,クマモトケンクマモトシチュウオウクカミトオリチョウイチジュウサン,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00002,13,13,ジュウサン,860-0845,TBN,1,0,,130.7104923503,32.8038962131,,,0,,130.7106475152,32.8038544379,,,,,,,,,,,,,,,,
431010160000000100003,熊本県熊本市中央区上通町1-15,クマモトケンクマモトシチュウオウクカミトオリチョウ1-15,クマモトケンクマモトシチュウオウクカミトオリチョウイチジュウゴ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00003,15,15,ジュウゴ,860-0845,TBN,1,0,,130.7103965929,32.8037228733,,,0,,130.7105601671,32.8036751302,130.7106119792,32.8037993707,,,,,,,,,,,,,,
431010160000000100004,熊本県熊本市中央区上通町1-16,クマモトケンクマモトシチュウオウクカミトオリチョウ1-16,クマモトケンクマモトシチュウオウクカミトオリチョウイチジュウロク,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00004,16,16,ジュウロク,860-0845,TBN,1,0,,130.7104085286,32.8036724175,,,0,,130.7105593533,32.8036328125,,,,,,,,,,,,,,,,
431010160000000100005,熊本県熊本市中央区上通町1-17,クマモトケンクマモトシチュウオウクカミトオリチョウ1-17,クマモトケンクマモトシチュウオウクカミトオリチョウイチジュウナナ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00005,17,17,ジュウナナ,860-0845,TBN,1,0,,130.7103971354,32.8036257595,,,0,,130.7105547418,32.8035818142,,,,,,,,,,,,,,,,
431010160000000100006,熊本県熊本市中央区上通町1-18,クマモトケンクマモトシチュウオウクカミトオリチョウ1-18,クマモトケンクマモトシチュウオウクカミトオリチョウイチジュウハチ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00006,18,18,ジュウハチ,860-0845,TBN,1,0,,130.7103564453,32.8035365126,,,0,,130.7105189345,32.8034906684,,,,,,,,,,,,,,,,
431010160000000100007,熊本県熊本市中央区上通町1-19,クマモトケンクマモトシチュウオウクカミトオリチョウ1-19,クマモトケンクマモトシチュウオウクカミトオリチョウイチジュウキュウ,JPN,日本,ニホン,ニホン,43,熊本県,クマモトケン,クマモトケン,101,熊本市中央区,クマモトシチュウオウク,クマモトシチュウオウク,016,上通町,カミトオリチョウ,カミトオリチョウ,000,,,,00001,1,1,イチ,00007,19,19,ジュウキュウ,860-0845,TBN,1,0,,130.7103152127,32.803452691,,,0,,130.7103290473,32.8033759223,130.7104725477,32.8034033203,,,,,,,,,,,,,,
